planner,track,suite,domain,tasks,solved,coverage_pct,SOLVED,TIMEOUT,MEMOUT,KILLED,ERROR,UNSUPPORTED,EXHAUSTED,UNSOLVABLE,median_solved_seconds,median_solved_mb,median_plan_length
PLASPPlanner-seq,numeric,numeric-domains,sec_clear_2_4-linear,1,1,100.0,1,0,0,0,0,0,0,0,1.5,120.0,4
PLASPPlanner-seq,numeric,numeric-domains,sec_clear_2_5-linear,1,1,100.0,1,0,0,0,0,0,0,0,1.5,124.0,4
PLASPPlanner-seq,numeric,numeric-domains,sec_clear_3_2-linear,1,1,100.0,1,0,0,0,0,0,0,0,1.5,124.0,6
PLASPPlanner-seq,numeric,numeric-domains,sec_clear_3_3-linear,1,1,100.0,1,0,0,0,0,0,0,0,1.5,121.7,6
PLASPPlanner-seq,numeric,numeric-domains,sec_clear_3_4-linear,1,1,100.0,1,0,0,0,0,0,0,0,1.7,125.5,6
PLASPPlanner-seq,numeric,numeric-domains,sec_clear_3_5-linear,1,1,100.0,1,0,0,0,0,0,0,0,1.8,126.0,6
PLASPPlanner-seq,numeric,numeric-domains,sec_clear_4_2-linear,1,1,100.0,1,0,0,0,0,0,0,0,1.9,128.0,8
PLASPPlanner-seq,numeric,numeric-domains,sec_clear_4_3-linear,1,1,100.0,1,0,0,0,0,0,0,0,2.0,128.0,8
PLASPPlanner-seq,numeric,numeric-domains,sec_clear_4_4-linear,1,1,100.0,1,0,0,0,0,0,0,0,1.9,131.4,8
PLASPPlanner-seq,numeric,numeric-domains,sec_clear_4_5-linear,1,1,100.0,1,0,0,0,0,0,0,0,2.0,132.0,8
PLASPPlanner-seq,numeric,numeric-domains,sec_clear_5_2-linear,1,1,100.0,1,0,0,0,0,0,0,0,15.8,135.9,10
PLASPPlanner-seq,numeric,numeric-domains,sec_clear_5_3-linear,1,1,100.0,1,0,0,0,0,0,0,0,8.7,141.1,10
PLASPPlanner-seq,numeric,numeric-domains,sec_clear_5_4-linear,1,1,100.0,1,0,0,0,0,0,0,0,7.9,140.7,10
PLASPPlanner-seq,numeric,numeric-domains,sec_clear_5_5-linear,1,1,100.0,1,0,0,0,0,0,0,0,8.3,146.8,10
PLASPPlanner-seq,numeric,numeric-domains,sec_clear_6_2-linear,1,1,100.0,1,0,0,0,0,0,0,0,300.8,151.8,12
PLASPPlanner-seq,numeric,numeric-domains,sec_clear_6_3-linear,1,1,100.0,1,0,0,0,0,0,0,0,638.1,160.6,12
PLASPPlanner-seq,numeric,numeric-domains,sec_clear_6_4-linear,1,1,100.0,1,0,0,0,0,0,0,0,407.3,163.8,12
PLASPPlanner-seq,numeric,numeric-domains,sec_clear_6_5-linear,1,1,100.0,1,0,0,0,0,0,0,0,446.0,171.2,12
PLASPPlanner-seq,numeric,numeric-domains,sec_clear_7_2-linear,1,0,0.0,0,1,0,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,sec_clear_7_3-linear,1,0,0.0,0,1,0,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,sec_clear_7_4-linear,1,0,0.0,0,1,0,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,sec_clear_7_5-linear,1,0,0.0,0,1,0,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,sec_clear_8_2-linear,1,0,0.0,0,1,0,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,sec_clear_8_3-linear,1,0,0.0,0,1,0,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,sec_clear_8_4-linear,1,0,0.0,0,1,0,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,sec_clear_8_5-linear,1,0,0.0,0,1,0,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,sec_clear_9_2-linear,1,0,0.0,0,1,0,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,sec_clear_9_3-linear,1,0,0.0,0,1,0,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,sec_clear_9_4-linear,1,0,0.0,0,1,0,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,sec_clear_9_5-linear,1,0,0.0,0,1,0,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,settlers-snp,20,0,0.0,0,7,9,4,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,settlersnumeric,25,0,0.0,0,17,7,1,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,settlersnumericnoassign,20,0,0.0,0,7,9,4,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,sugar,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,tpp,40,0,0.0,0,0,31,9,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,tpp-metric,10,0,0.0,0,1,0,0,0,9,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,worksworld,40,0,0.0,0,0,0,0,0,40,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,zenotravel,23,0,0.0,0,0,0,0,0,23,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,ztalloc-sum,20,0,0.0,0,20,0,0,0,0,0,0,,,
