planner,track,suite,domain,tasks,solved,coverage_pct,SOLVED,TIMEOUT,MEMOUT,KILLED,ERROR,UNSUPPORTED,EXHAUSTED,UNSOLVABLE,median_solved_seconds,median_solved_mb,median_plan_length
ABAPlanner-ST,numeric,numeric-domains,sec_clear_6_3-linear,1,0,0.0,0,0,0,0,0,1,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,sec_clear_6_4-linear,1,0,0.0,0,0,0,0,0,1,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,sec_clear_6_5-linear,1,0,0.0,0,0,0,0,0,1,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,sec_clear_7_2-linear,1,0,0.0,0,0,0,0,0,1,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,sec_clear_7_3-linear,1,0,0.0,0,0,0,0,0,1,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,sec_clear_7_4-linear,1,0,0.0,0,0,0,0,0,1,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,sec_clear_7_5-linear,1,0,0.0,0,0,0,0,0,1,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,sec_clear_8_2-linear,1,0,0.0,0,0,0,0,0,1,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,sec_clear_8_3-linear,1,0,0.0,0,0,0,0,0,1,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,sec_clear_8_4-linear,1,0,0.0,0,0,0,0,0,1,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,sec_clear_8_5-linear,1,0,0.0,0,0,0,0,0,1,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,sec_clear_9_2-linear,1,0,0.0,0,0,0,0,0,1,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,sec_clear_9_3-linear,1,0,0.0,0,0,0,0,0,1,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,sec_clear_9_4-linear,1,0,0.0,0,0,0,0,0,1,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,sec_clear_9_5-linear,1,0,0.0,0,0,0,0,0,1,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,settlers-snp,20,0,0.0,0,0,18,2,0,0,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,settlersnumeric,25,0,0.0,0,0,0,0,0,25,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,settlersnumericnoassign,20,0,0.0,0,0,18,2,0,0,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,sugar,20,0,0.0,0,0,0,0,0,20,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,tpp,40,0,0.0,0,0,0,0,0,40,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,tpp-metric,10,0,0.0,0,0,0,0,0,10,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,worksworld,40,0,0.0,0,0,0,0,0,40,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,zenotravel,23,0,0.0,0,0,0,0,0,23,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,ztalloc-sum,20,0,0.0,0,0,0,0,0,20,0,0,,,
PLASPPlanner-seq,classical,classical-domains,agricola-opt18,20,0,0.0,0,6,0,14,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,agricola-sat18,20,0,0.0,0,12,0,8,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,airport,50,11,22.0,11,39,0,0,0,0,0,0,5.5,154.0,21
PLASPPlanner-seq,classical,classical-domains,airport-adl,50,11,22.0,11,9,23,7,0,0,0,0,12.0,288.0,21
PLASPPlanner-seq,classical,classical-domains,assembly,30,0,0.0,0,8,18,4,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,barman-opt11-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,barman-opt14-strips,14,0,0.0,0,14,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,barman-sat11-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,barman-sat14-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,blocks,136,20,14.7,20,54,0,6,56,0,0,0,3.3,130.0,19.0
PLASPPlanner-seq,classical,classical-domains,blocks-3op,30,14,46.7,14,16,0,0,0,0,0,0,2.5,132.0,10.0
PLASPPlanner-seq,classical,classical-domains,briefcaseworld,30,7,23.3,7,23,0,0,0,0,0,0,3.0,125.4,12
PLASPPlanner-seq,classical,classical-domains,caldera-opt18,20,4,20.0,4,0,13,3,0,0,0,0,14.0,645.3,7.0
PLASPPlanner-seq,classical,classical-domains,caldera-sat18,20,0,0.0,0,0,18,2,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,caldera-split-opt18,20,8,40.0,8,12,0,0,0,0,0,0,47.4,393.7,28.5
PLASPPlanner-seq,classical,classical-domains,caldera-split-sat18,20,2,10.0,2,9,9,0,0,0,0,0,121.5,617.3,37.0
PLASPPlanner-seq,classical,classical-domains,cavediving,20,7,35.0,7,13,0,0,0,0,0,0,223.6,173.6,23
PLASPPlanner-seq,classical,classical-domains,childsnack-opt14-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,childsnack-sat14-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
